age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,education,employment_type,marital_status,loan_purpose,has_mortgage,has_dependents,has_cosigner,default
51,57980.79,35526.0,511.0,203.0,3.0,4.78,36.0,0.56,Bachelor's,Full-time,Divorced,Personal,No,Yes,Yes,0
59,85643.28,35599.0,757.0,348.0,3.0,13.53,48.0,0.72,Master's,Full-time,Divorced,Auto,Yes,Yes,No,0
23,32471.45,10363.0,581.0,338.0,7.0,7.7,24.0,0.16,Master's,Part-time,Divorced,Business,No,Yes,No,0
42,37926.45,15255.0,505.0,225.0,1.0,3.68,12.0,0.59,PhD,Full-time,Married,Personal,No,No,No,0
54,56772.13,4810.0,304.0,47.0,18.0,9.18,48.0,0.65,High School,Full-time,Single,Personal,Yes,Yes,No,1
33,45153.62,2440.0,542.0,282.0,1.0,8.13,24.0,0.5,Master's,Self-employed,Single,Business,Yes,Yes,No,0
43,44016.18,44879.0,447.0,349.0,6.0,18.23,48.0,0.77,PhD,Full-time,Single,Home,Yes,No,No,1
65,,2719.0,622.0,228.0,7.0,22.01,60.0,0.85,Master's,Full-time,Single,Personal,No,No,No,1
46,81295.77,45213.0,,347.0,12.0,8.61,60.0,0.28,High School,Full-time,Single,Home,No,Yes,No,0
48,77322.69,1555.0,692.0,197.0,3.0,8.3,36.0,0.15,PhD,Self-employed,Married,Home,Yes,Yes,No,0
63,55469.39,43193.0,549.0,191.0,2.0,11.84,24.0,0.72,Master's,Full-time,Single,Education,Yes,No,No,1
49,88089.61,13112.0,727.0,311.0,15.0,7.21,60.0,0.48,Bachelor's,Full-time,Single,Home,Yes,Yes,No,1
37,,3297.0,668.0,69.0,4.0,23.86,48.0,0.15,Bachelor's,Self-employed,Divorced,Auto,Yes,No,Yes,0
36,78077.88,2535.0,746.0,20.0,19.0,8.74,36.0,0.17,High School,Part-time,Single,Auto,Yes,No,No,0
68,37789.07,15931.0,321.0,46.0,11.0,5.51,60.0,0.28,Bachelor's,Full-time,Married,Home,No,Yes,Yes,0
65,41926.46,7282.0,849.0,315.0,5.0,15.47,36.0,0.1,High School,Full-time,Single,Education,Yes,Yes,No,0
24,41712.35,29634.0,838.0,,12.0,15.06,24.0,0.48,Bachelor's,Full-time,Married,Home,Yes,No,No,0
58,53265.56,45262.0,581.0,89.0,16.0,17.09,60.0,0.4,Bachelor's,Full-time,Single,Home,No,No,Yes,0
28,56198.26,26485.0,578.0,232.0,10.0,24.28,60.0,0.14,PhD,Full-time,Single,Business,No,Yes,No,0
42,61483.55,35729.0,419.0,272.0,6.0,10.45,12.0,0.29,Bachelor's,Self-employed,Divorced,Auto,Yes,Yes,No,1
30,94462.1,25587.0,552.0,252.0,12.0,11.23,12.0,0.69,Master's,Part-time,Single,Home,No,No,No,0
60,69425.56,34747.0,776.0,198.0,7.0,10.75,24.0,0.75,Master's,Part-time,Single,Personal,No,No,No,0
39,44704.17,34040.0,364.0,152.0,10.0,17.02,24.0,0.1,High School,Unemployed,Single,Personal,Yes,No,Yes,0
25,54934.51,46543.0,602.0,161.0,16.0,16.49,12.0,0.19,Master's,Full-time,Married,Home,No,Yes,No,0
46,85098.84,24641.0,616.0,281.0,3.0,14.87,60.0,0.9,High School,Self-employed,Married,Home,No,No,Yes,0
35,70637.6,27573.0,473.0,5.0,16.0,11.33,36.0,0.62,High School,Full-time,Married,Personal,Yes,Yes,Yes,1
30,84835.64,6144.0,714.0,9.0,12.0,12.69,24.0,0.65,Bachelor's,Self-employed,Single,Business,No,Yes,Yes,0
47,,2688.0,559.0,336.0,8.0,20.54,12.0,0.4,Bachelor's,Part-time,Single,Personal,Yes,No,No,0
23,40766.77,49088.0,584.0,130.0,5.0,16.6,36.0,0.5,PhD,Part-time,Married,Home,Yes,Yes,No,1
41,41059.11,18979.0,372.0,314.0,17.0,18.9,12.0,0.51,Bachelor's,Full-time,Divorced,Home,No,No,Yes,0
49,46960.27,32803.0,378.0,111.0,14.0,9.45,48.0,0.38,Bachelor's,Full-time,Married,Personal,Yes,Yes,Yes,0
68,33734.34,17154.0,343.0,79.0,9.0,23.1,60.0,0.65,Master's,Unemployed,Married,Business,Yes,No,No,1
28,60903.86,38451.0,302.0,47.0,19.0,4.26,36.0,0.56,High School,Part-time,Married,Education,Yes,No,Yes,0
65,61247.74,16123.0,742.0,150.0,12.0,16.31,12.0,0.85,Master's,Self-employed,Single,Business,No,No,No,1
29,81775.56,24998.0,378.0,90.0,11.0,20.97,36.0,0.11,High School,Full-time,Married,Business,No,No,No,1
68,19794.75,6786.0,676.0,132.0,1.0,22.13,48.0,0.81,Bachelor's,Full-time,Married,Business,No,No,No,0
56,36117.45,31289.0,438.0,183.0,11.0,10.37,48.0,0.86,Master's,Full-time,Married,Home,Yes,Yes,Yes,0
35,71111.61,6129.0,306.0,,8.0,13.38,60.0,0.22,Bachelor's,Unemployed,Married,Auto,Yes,No,No,1
38,58669.46,29914.0,812.0,,4.0,4.25,12.0,0.28,PhD,Self-employed,Single,Personal,No,No,Yes,0
57,55896.05,26777.0,376.0,84.0,4.0,20.48,12.0,0.14,Bachelor's,Unemployed,Single,Business,No,No,No,1
61,80277.08,3845.0,342.0,262.0,11.0,6.18,12.0,0.29,High School,Full-time,Married,Home,Yes,Yes,No,0
25,34800.92,9448.0,456.0,,19.0,12.7,24.0,0.61,Master's,Full-time,Divorced,Personal,No,No,No,1
23,40425.41,28139.0,829.0,264.0,4.0,24.8,60.0,0.27,High School,Self-employed,Single,Personal,Yes,No,No,0
27,38069.76,22718.0,519.0,215.0,6.0,23.23,48.0,0.78,Bachelor's,Full-time,Divorced,Education,No,Yes,No,1
63,14741.84,24581.0,489.0,344.0,9.0,10.6,60.0,0.83,Bachelor's,Part-time,Divorced,Personal,Yes,No,No,0
25,57656.35,28993.0,561.0,173.0,11.0,8.31,24.0,0.12,PhD,Self-employed,Single,Auto,No,Yes,No,0
50,44542.95,43048.0,443.0,36.0,12.0,8.91,12.0,0.51,Bachelor's,Full-time,Married,Auto,Yes,No,No,1
39,40341.98,13923.0,784.0,16.0,18.0,18.22,48.0,0.11,Master's,Full-time,Married,Personal,No,Yes,No,0
47,36731.5,14084.0,577.0,296.0,9.0,19.1,12.0,0.6,Bachelor's,Part-time,Single,Business,Yes,No,No,0
65,54645.07,18560.0,606.0,319.0,15.0,8.15,24.0,0.38,High School,Self-employed,Married,Education,Yes,Yes,No,0
55,39029.21,23567.0,849.0,338.0,17.0,8.66,24.0,0.78,Bachelor's,Self-employed,Married,Auto,No,Yes,Yes,0
31,59431.35,20481.0,455.0,312.0,9.0,10.45,12.0,0.83,Bachelor's,Full-time,Divorced,Home,No,No,Yes,1
57,64183.6,33016.0,599.0,44.0,13.0,12.81,12.0,0.5,PhD,Self-employed,Single,Personal,No,No,No,0
35,49108.45,12422.0,646.0,72.0,2.0,23.23,36.0,0.86,Bachelor's,Full-time,Single,Home,No,No,Yes,1
52,47750.65,2724.0,722.0,108.0,17.0,4.07,48.0,0.79,Bachelor's,Full-time,Married,Home,Yes,Yes,No,1
69,58709.82,31471.0,725.0,346.0,18.0,17.22,48.0,0.18,Bachelor's,Part-time,Single,Business,Yes,No,Yes,0
36,54423.01,3628.0,341.0,,6.0,22.03,60.0,0.38,Bachelor's,Self-employed,Married,Education,Yes,No,No,0
29,81603.19,28875.0,615.0,137.0,2.0,19.05,60.0,0.37,Bachelor's,Full-time,Married,Business,No,Yes,No,0
35,61365.31,18734.0,376.0,181.0,1.0,8.16,24.0,0.34,Bachelor's,Full-time,Married,Home,No,Yes,No,1
44,76911.72,25109.0,395.0,299.0,5.0,13.75,48.0,0.74,Master's,Full-time,Married,Home,Yes,No,No,1
61,67210.22,1619.0,562.0,303.0,14.0,23.07,24.0,0.34,High School,Full-time,Married,Home,No,No,No,0
42,28631.64,14786.0,504.0,326.0,18.0,5.99,12.0,0.4,High School,Full-time,Married,Education,Yes,No,Yes,1
37,43834.7,29634.0,587.0,1.0,4.0,24.73,48.0,0.17,Master's,Part-time,Single,Auto,Yes,No,No,0
66,54038.05,22927.0,562.0,79.0,14.0,6.59,24.0,0.52,PhD,Full-time,Divorced,Business,Yes,No,No,0
39,72368.89,10729.0,614.0,117.0,15.0,6.56,36.0,0.19,Bachelor's,Full-time,Married,Education,No,No,No,0
68,93556.26,23237.0,668.0,261.0,8.0,20.98,36.0,0.8,High School,Unemployed,Married,Auto,No,No,No,0
45,45317.06,37540.0,551.0,79.0,2.0,21.31,48.0,0.74,Bachelor's,Self-employed,Single,Home,Yes,No,Yes,0
47,56105.12,36301.0,632.0,88.0,17.0,4.32,48.0,0.34,High School,Full-time,Married,Personal,No,No,Yes,0
46,70998.23,42437.0,725.0,44.0,17.0,7.12,60.0,0.1,Bachelor's,Full-time,Single,Home,Yes,No,No,0
66,53843.45,22735.0,594.0,265.0,6.0,23.89,48.0,0.16,High School,Unemployed,Single,Business,Yes,No,No,1
62,87881.94,35808.0,584.0,243.0,6.0,9.51,60.0,0.27,High School,Full-time,Single,Auto,No,Yes,Yes,0
50,28044.26,18949.0,616.0,287.0,19.0,3.76,36.0,0.5,High School,Self-employed,Divorced,Business,No,Yes,Yes,0
36,68560.4,21509.0,811.0,1.0,1.0,8.96,36.0,0.68,Master's,Unemployed,Married,Auto,No,No,No,0
66,68364.27,30398.0,328.0,276.0,6.0,19.31,36.0,0.18,High School,Unemployed,Married,Auto,Yes,Yes,Yes,0
22,78040.77,5268.0,593.0,245.0,5.0,23.2,12.0,0.67,High School,Full-time,Divorced,Personal,No,No,No,0
46,56241.03,36607.0,306.0,225.0,4.0,,48.0,0.54,High School,Full-time,Divorced,Auto,No,No,No,0
28,72830.42,45507.0,841.0,348.0,13.0,8.32,36.0,0.6,Bachelor's,Part-time,Married,Business,Yes,No,No,0
30,50017.22,48826.0,514.0,233.0,17.0,12.99,60.0,0.84,High School,Full-time,Single,Personal,No,Yes,No,1
45,38972.17,41944.0,514.0,120.0,13.0,19.59,60.0,0.86,Bachelor's,Full-time,Single,Business,No,No,No,1
22,36055.94,40308.0,463.0,22.0,16.0,17.66,24.0,0.69,Bachelor's,Full-time,Married,Auto,No,No,No,0
65,26171.96,13412.0,469.0,199.0,13.0,10.54,24.0,0.65,Bachelor's,Full-time,Single,Auto,No,No,No,1
29,46172.82,36511.0,520.0,235.0,1.0,4.93,12.0,0.71,Master's,Full-time,Married,Auto,No,Yes,Yes,0
45,61229.77,28150.0,559.0,35.0,10.0,8.94,60.0,0.64,Bachelor's,Full-time,Married,Auto,No,No,No,0
32,50837.36,6642.0,560.0,13.0,18.0,8.22,24.0,0.11,High School,Full-time,Married,Auto,No,Yes,Yes,0
38,58959.32,11069.0,771.0,,17.0,3.95,48.0,0.9,Bachelor's,Unemployed,Married,Education,Yes,No,No,0
29,79697.58,32832.0,554.0,244.0,17.0,24.46,48.0,0.61,High School,Part-time,Divorced,Business,No,Yes,Yes,1
56,44650.27,2026.0,577.0,290.0,10.0,8.99,48.0,0.49,Bachelor's,Full-time,Married,Education,Yes,Yes,No,0
56,101805.93,4592.0,323.0,119.0,2.0,21.49,48.0,0.46,PhD,Self-employed,Married,Home,Yes,No,Yes,0
54,70104.86,1987.0,732.0,21.0,10.0,13.92,24.0,0.29,High School,Full-time,Single,Business,Yes,No,Yes,1
26,51061.49,16917.0,777.0,174.0,6.0,24.4,12.0,0.48,Master's,Full-time,Married,Education,Yes,Yes,Yes,0
63,50607.96,8238.0,793.0,291.0,3.0,6.72,24.0,0.69,Bachelor's,Part-time,Single,Business,Yes,No,No,0
60,34837.4,36515.0,681.0,270.0,10.0,5.88,48.0,0.3,Master's,Full-time,Married,Business,Yes,No,Yes,0
62,54485.66,9330.0,673.0,120.0,19.0,3.55,36.0,0.78,Master's,Self-employed,Single,Education,Yes,No,No,0
49,11768.08,6650.0,622.0,95.0,17.0,18.95,48.0,0.27,Bachelor's,Full-time,Married,Auto,Yes,Yes,No,0
28,80115.32,38264.0,388.0,185.0,12.0,10.09,12.0,0.79,High School,Full-time,Married,Personal,No,No,No,1
30,-1332.22,26217.0,391.0,168.0,12.0,22.21,60.0,0.57,PhD,Full-time,Single,Personal,No,Yes,Yes,1
29,55835.02,18807.0,676.0,355.0,6.0,17.13,60.0,0.77,Master's,Full-time,Married,Business,No,No,No,0
33,32120.22,26712.0,380.0,344.0,12.0,15.91,48.0,0.43,PhD,Full-time,Married,Auto,No,Yes,No,1
55,40976.43,37489.0,399.0,236.0,6.0,13.97,12.0,0.36,PhD,Full-time,Married,Business,Yes,No,Yes,0
54,43556.96,28865.0,422.0,329.0,3.0,9.05,24.0,0.66,Bachelor's,Full-time,Single,Auto,No,No,Yes,0
69,93512.52,25633.0,695.0,231.0,3.0,4.89,12.0,0.39,High School,Full-time,Divorced,Business,Yes,Yes,Yes,0
44,32934.99,26275.0,322.0,25.0,9.0,13.04,48.0,0.86,Bachelor's,Full-time,Married,Home,Yes,Yes,No,0
45,73285.19,2145.0,818.0,253.0,1.0,5.63,24.0,0.69,High School,Full-time,Married,Home,Yes,No,Yes,0
58,78208.04,22963.0,576.0,29.0,4.0,22.97,60.0,0.44,Bachelor's,Full-time,Single,Home,Yes,Yes,Yes,0
56,8231.44,10300.0,394.0,358.0,12.0,21.33,48.0,0.24,Bachelor's,Part-time,Divorced,Business,No,Yes,No,1
65,42692.94,47697.0,681.0,286.0,5.0,16.82,60.0,0.55,Bachelor's,Full-time,Single,Auto,Yes,No,No,0
61,84689.18,21879.0,676.0,,18.0,,48.0,0.58,High School,Full-time,Single,Auto,No,Yes,No,0
43,28704.53,7242.0,324.0,337.0,16.0,13.27,24.0,0.87,Master's,Part-time,Married,Personal,No,No,Yes,0
48,78965.52,14832.0,590.0,257.0,10.0,13.49,12.0,0.69,Bachelor's,Self-employed,Single,Home,No,Yes,No,0
56,54642.67,25683.0,526.0,333.0,12.0,19.53,60.0,0.3,Bachelor's,Full-time,Divorced,Personal,No,Yes,No,1
22,53778.05,15285.0,472.0,230.0,11.0,6.21,24.0,0.31,High School,Full-time,Single,Education,No,No,No,1
56,56389.83,29823.0,752.0,147.0,19.0,14.92,60.0,0.56,Bachelor's,Full-time,Single,Personal,No,No,Yes,0
58,61851.44,10097.0,587.0,33.0,5.0,20.97,36.0,0.2,Bachelor's,Full-time,Single,Auto,No,Yes,No,0
68,35887.24,48852.0,368.0,59.0,3.0,14.47,24.0,0.66,Bachelor's,Full-time,Single,Personal,No,No,Yes,0
35,49791.61,2992.0,580.0,289.0,19.0,3.8,24.0,0.16,Master's,Full-time,Single,Education,No,No,No,0
24,62411.97,37890.0,641.0,164.0,6.0,8.76,12.0,0.56,Bachelor's,Part-time,Married,Home,Yes,Yes,No,0
22,58537.72,29790.0,632.0,194.0,17.0,17.87,12.0,0.89,Bachelor's,Self-employed,Single,Personal,No,Yes,No,0
26,61984.51,30394.0,685.0,126.0,13.0,23.59,48.0,0.8,Bachelor's,Self-employed,Divorced,Education,No,No,Yes,0
47,40626.26,46058.0,641.0,224.0,7.0,22.72,12.0,0.78,Bachelor's,Full-time,Single,Personal,Yes,Yes,No,1
35,67645.98,19376.0,616.0,274.0,19.0,21.19,48.0,0.7,Bachelor's,Unemployed,Divorced,Business,No,No,No,0
60,,24880.0,606.0,222.0,19.0,23.93,12.0,0.84,Master's,Full-time,Married,Home,Yes,Yes,No,1
48,23386.0,20984.0,472.0,51.0,12.0,9.52,12.0,0.84,Bachelor's,Full-time,Married,Business,No,Yes,No,0
30,44372.57,14541.0,843.0,43.0,11.0,3.77,48.0,0.23,Bachelor's,Full-time,Single,Home,No,Yes,No,0
36,37089.91,29975.0,499.0,85.0,17.0,11.12,36.0,0.28,Bachelor's,Part-time,Married,Business,No,Yes,Yes,0
36,36832.44,5010.0,374.0,154.0,17.0,15.91,24.0,0.84,PhD,Self-employed,Single,Auto,No,Yes,Yes,0
47,45470.4,9275.0,516.0,37.0,18.0,10.3,48.0,0.32,Bachelor's,Self-employed,Single,Education,Yes,No,No,0
63,67269.44,37088.0,831.0,91.0,15.0,4.45,36.0,0.4,High School,Full-time,Married,Home,Yes,No,Yes,0
34,42464.16,19889.0,748.0,148.0,6.0,14.4,12.0,0.13,High School,Full-time,Divorced,Home,Yes,No,Yes,0
53,,41596.0,306.0,12.0,8.0,7.79,48.0,0.82,High School,Full-time,Married,Business,Yes,Yes,No,0
60,56223.25,41653.0,,348.0,11.0,19.14,36.0,0.16,High School,Full-time,Divorced,Home,No,No,No,0
53,39418.95,41016.0,685.0,297.0,13.0,5.42,36.0,0.52,PhD,Self-employed,Single,Education,Yes,No,No,0
25,48103.7,41636.0,800.0,224.0,17.0,24.1,24.0,0.28,Bachelor's,Full-time,Married,Business,No,No,No,0
51,72296.98,33155.0,446.0,351.0,17.0,22.35,12.0,0.12,High School,Full-time,Single,Auto,No,No,No,1
58,57996.13,7349.0,615.0,303.0,18.0,22.29,60.0,0.33,Master's,Part-time,Divorced,Education,Yes,Yes,No,0
44,65976.56,24347.0,753.0,45.0,16.0,20.48,36.0,0.63,Bachelor's,Part-time,Married,Personal,No,Yes,No,0
60,80449.93,4062.0,486.0,219.0,16.0,17.12,48.0,0.17,High School,Self-employed,Married,Business,No,No,No,1
66,63698.74,4852.0,624.0,113.0,4.0,4.65,12.0,0.78,Bachelor's,Full-time,Divorced,Business,No,No,No,1
36,16586.22,14160.0,617.0,77.0,17.0,17.74,60.0,0.65,Bachelor's,Self-employed,Married,Personal,Yes,No,Yes,1
64,60411.95,17322.0,693.0,312.0,8.0,19.56,60.0,0.15,High School,Unemployed,Married,Auto,Yes,No,Yes,0
50,42637.77,1387.0,678.0,307.0,7.0,6.31,60.0,0.42,Bachelor's,Full-time,Married,Home,No,Yes,Yes,0
57,91206.05,47891.0,773.0,277.0,8.0,16.74,36.0,0.75,Bachelor's,Full-time,Married,Home,Yes,No,Yes,0
34,62985.39,40805.0,317.0,16.0,1.0,13.8,24.0,0.85,Bachelor's,Full-time,Married,Business,Yes,Yes,No,0
53,43051.23,7910.0,448.0,96.0,2.0,13.66,60.0,0.6,High School,Full-time,Married,Auto,No,No,No,0
28,66330.24,16758.0,311.0,101.0,13.0,7.79,60.0,0.64,Bachelor's,Full-time,Single,Auto,No,No,Yes,0
43,56815.82,3003.0,761.0,281.0,2.0,19.4,48.0,0.8,PhD,Unemployed,Married,Home,No,No,No,1
49,20640.85,26607.0,459.0,166.0,5.0,23.39,60.0,0.46,PhD,Self-employed,Single,Education,No,Yes,Yes,0
23,72261.22,39513.0,565.0,70.0,5.0,20.44,12.0,0.67,PhD,Unemployed,Single,Home,No,No,No,0
63,,26025.0,846.0,216.0,6.0,11.43,24.0,0.56,Bachelor's,Full-time,Single,Business,No,No,No,0
66,83412.37,4547.0,379.0,239.0,18.0,24.66,24.0,0.66,High School,Full-time,Single,Business,Yes,No,No,1
27,52511.38,26672.0,817.0,,16.0,11.33,60.0,0.81,Bachelor's,Full-time,Single,Home,No,No,Yes,0
49,83785.87,42819.0,367.0,157.0,17.0,8.54,36.0,0.73,Bachelor's,Self-employed,Divorced,Personal,Yes,Yes,Yes,0
49,63497.96,15456.0,543.0,40.0,9.0,24.31,36.0,0.2,PhD,Full-time,Married,Personal,No,Yes,No,1
65,74482.47,1301.0,308.0,49.0,8.0,20.48,60.0,0.85,Bachelor's,Part-time,Single,Personal,Yes,No,No,1
65,45163.61,40872.0,456.0,,8.0,19.87,60.0,0.14,PhD,Part-time,Single,Home,No,No,Yes,0
41,62060.12,32603.0,763.0,73.0,2.0,5.16,36.0,0.71,High School,Unemployed,Married,Personal,No,No,No,1
51,20475.3,42840.0,599.0,186.0,9.0,7.63,60.0,0.33,Bachelor's,Full-time,Married,Personal,Yes,No,Yes,0
32,52459.26,44241.0,619.0,243.0,6.0,3.9,48.0,0.72,Bachelor's,Part-time,Married,Auto,Yes,Yes,No,1
49,25309.37,21545.0,548.0,65.0,19.0,20.2,48.0,0.11,Bachelor's,Full-time,Married,Home,Yes,No,No,1
46,32140.46,41478.0,622.0,234.0,1.0,9.48,60.0,0.28,High School,Full-time,Single,Personal,Yes,Yes,Yes,0
60,37183.91,17178.0,761.0,113.0,19.0,6.34,36.0,0.16,Bachelor's,Self-employed,Married,Home,No,No,Yes,0
54,68208.42,19216.0,697.0,205.0,1.0,7.41,48.0,0.7,High School,Part-time,Married,Auto,Yes,No,No,0
22,52052.8,9242.0,692.0,268.0,13.0,17.28,36.0,0.26,PhD,Full-time,Married,Education,No,No,No,0
48,55628.54,8496.0,527.0,256.0,7.0,12.81,60.0,0.84,Bachelor's,Part-time,Divorced,Education,Yes,No,No,1
34,51508.25,21866.0,543.0,88.0,13.0,23.74,60.0,0.43,Master's,Full-time,Single,Business,Yes,No,Yes,0
62,76614.41,29357.0,356.0,9.0,18.0,11.37,60.0,0.68,Bachelor's,Self-employed,Single,Home,No,No,Yes,1
24,55080.84,47252.0,442.0,190.0,2.0,21.43,48.0,0.76,High School,Self-employed,Single,Auto,No,No,No,1
60,59976.74,32212.0,491.0,233.0,3.0,15.25,24.0,0.86,Bachelor's,Self-employed,Single,Auto,No,No,No,0
27,43594.94,6887.0,,53.0,6.0,18.66,24.0,0.47,Master's,Full-time,Married,Auto,No,Yes,Yes,1
29,77988.19,18862.0,703.0,150.0,13.0,7.13,24.0,0.64,Master's,Full-time,Single,Personal,Yes,Yes,Yes,0
48,79487.79,35856.0,574.0,326.0,9.0,,48.0,0.39,High School,Self-employed,Married,Personal,Yes,No,Yes,0
30,54262.22,7040.0,338.0,305.0,3.0,5.34,36.0,0.33,High School,Full-time,Single,Personal,Yes,No,Yes,0
58,43314.1,25536.0,492.0,58.0,15.0,18.36,24.0,0.65,High School,Unemployed,Single,Auto,Yes,No,No,1
54,22680.47,14440.0,626.0,261.0,4.0,13.51,24.0,0.42,High School,Part-time,Single,Education,Yes,No,Yes,0
63,37628.07,48189.0,782.0,31.0,17.0,8.41,12.0,0.56,Bachelor's,Full-time,Divorced,Home,No,No,Yes,0
65,11658.2,29371.0,324.0,308.0,17.0,13.83,60.0,0.26,Bachelor's,Full-time,Divorced,Home,Yes,Yes,No,1
45,36787.15,20724.0,401.0,68.0,13.0,21.9,24.0,0.67,Bachelor's,Part-time,Married,Personal,No,Yes,No,1
36,62139.4,3343.0,516.0,82.0,11.0,6.83,24.0,0.88,Master's,Unemployed,Single,Auto,No,Yes,No,1
53,53992.0,8188.0,566.0,257.0,8.0,7.15,36.0,0.53,Bachelor's,Full-time,Divorced,Education,No,Yes,No,0
53,101465.34,35006.0,461.0,298.0,3.0,14.98,60.0,0.52,Bachelor's,Full-time,Married,Education,No,No,No,1
45,47578.87,30096.0,586.0,39.0,18.0,16.94,48.0,0.78,Master's,Part-time,Single,Personal,No,No,Yes,0
62,46017.37,46216.0,546.0,3.0,1.0,12.53,48.0,0.22,High School,Part-time,Divorced,Personal,Yes,No,Yes,0
33,76255.39,7856.0,473.0,74.0,8.0,,12.0,0.41,Bachelor's,Self-employed,Married,Business,Yes,Yes,No,0
60,16461.27,23044.0,695.0,173.0,9.0,4.94,36.0,0.24,Bachelor's,Self-employed,Married,Education,No,Yes,Yes,0
23,25364.66,11620.0,308.0,104.0,17.0,4.57,36.0,0.54,Bachelor's,Part-time,Divorced,Education,Yes,No,No,0
24,68276.83,21723.0,747.0,147.0,8.0,4.38,60.0,0.59,Bachelor's,Full-time,Single,Education,Yes,No,No,0
58,51091.52,42142.0,620.0,121.0,11.0,22.88,36.0,0.83,Bachelor's,Part-time,Single,Personal,No,Yes,Yes,0
38,51550.08,42503.0,424.0,13.0,1.0,6.32,12.0,0.76,Bachelor's,Full-time,Single,Personal,Yes,No,Yes,1
23,36256.98,24475.0,340.0,354.0,2.0,9.85,60.0,0.62,Bachelor's,Full-time,Divorced,Home,Yes,No,No,0
23,59795.4,31243.0,636.0,176.0,15.0,24.7,36.0,0.72,Bachelor's,Part-time,Single,Personal,No,Yes,No,1
49,38839.53,33860.0,625.0,20.0,17.0,23.44,36.0,0.6,Bachelor's,Full-time,Divorced,Business,No,Yes,No,0
44,56454.87,3415.0,485.0,316.0,15.0,4.42,24.0,0.56,Bachelor's,Self-employed,Married,Auto,No,No,No,0
58,31830.33,5254.0,540.0,257.0,18.0,15.35,24.0,0.14,Bachelor's,Full-time,Married,Auto,Yes,Yes,Yes,0
53,51352.06,11637.0,638.0,148.0,12.0,17.12,12.0,0.12,Master's,Unemployed,Married,Home,No,Yes,No,0
54,95497.38,25510.0,393.0,265.0,14.0,4.66,24.0,0.78,Master's,Full-time,Single,Home,No,Yes,Yes,0
22,46501.28,38301.0,715.0,346.0,12.0,19.15,36.0,0.33,High School,Self-employed,Married,Education,No,No,No,1
40,52364.84,7516.0,362.0,117.0,2.0,24.74,24.0,0.38,High School,Full-time,Divorced,Home,No,Yes,No,0
23,50949.54,5401.0,819.0,331.0,16.0,12.73,36.0,0.46,High School,Full-time,Married,Business,No,No,No,1
65,58490.63,36800.0,508.0,79.0,19.0,13.16,60.0,0.13,High School,Full-time,Married,Education,No,Yes,Yes,1
